Scenario,Solver,n_features,n_samples,Time_ms,RelError,Timestamp
narrow,Cholesky_Winograd,27,4096,10.8876,9.838028e-02,2026-06-01 10:42:52
narrow,Gauss_Naive,39,4096,22.5824,9.765227e-02,2026-06-01 10:42:52
narrow,Gauss_Perminov,39,4096,20.9551,9.765227e-02,2026-06-01 10:42:52
narrow,Gauss_Winograd,39,4096,21.6278,9.765227e-02,2026-06-01 10:42:52
narrow,Cholesky_Naive,39,4096,22.7621,9.765227e-02,2026-06-01 10:42:52
narrow,Cholesky_Perminov,39,4096,20.2594,9.765227e-02,2026-06-01 10:42:52
narrow,Cholesky_Winograd,39,4096,21.4174,9.765227e-02,2026-06-01 10:42:52
narrow,Gauss_Naive,20,4096,6.9401,9.839419e-02,2026-06-01 10:42:52
narrow,Gauss_Perminov,20,4096,6.0575,9.839419e-02,2026-06-01 10:42:53
narrow,Gauss_Winograd,20,4096,6.3725,9.839419e-02,2026-06-01 10:42:53
narrow,Cholesky_Naive,20,4096,6.5321,9.839419e-02,2026-06-01 10:42:53
narrow,Cholesky_Perminov,20,4096,6.0925,9.839419e-02,2026-06-01 10:42:53
narrow,Cholesky_Winograd,20,4096,6.3355,9.839419e-02,2026-06-01 10:42:53
narrow,Gauss_Naive,36,4096,20.9311,9.770361e-02,2026-06-01 10:42:53
narrow,Gauss_Perminov,36,4096,17.5563,9.770361e-02,2026-06-01 10:42:53
narrow,Gauss_Winograd,36,4096,18.402,9.770361e-02,2026-06-01 10:42:53
narrow,Cholesky_Naive,36,4096,21.0988,9.770361e-02,2026-06-01 10:42:53
narrow,Cholesky_Perminov,36,4096,17.2963,9.770361e-02,2026-06-01 10:42:53
narrow,Cholesky_Winograd,36,4096,18.2984,9.770361e-02,2026-06-01 10:42:53
narrow,Gauss_Naive,52,4096,42.4542,9.701967e-02,2026-06-01 10:42:54
narrow,Gauss_Perminov,52,4096,35.351,9.701967e-02,2026-06-01 10:42:54
narrow,Gauss_Winograd,52,4096,36.3611,9.701967e-02,2026-06-01 10:42:54
narrow,Cholesky_Naive,52,4096,42.3912,9.701967e-02,2026-06-01 10:42:54
narrow,Cholesky_Perminov,52,4096,35.6704,9.701967e-02,2026-06-01 10:42:55
narrow,Cholesky_Winograd,52,4096,36.7134,9.701967e-02,2026-06-01 10:42:55
narrow,Gauss_Naive,25,4096,9.8549,9.787913e-02,2026-06-01 10:42:55
narrow,Gauss_Perminov,25,4096,9.1042,9.787913e-02,2026-06-01 10:42:55
narrow,Gauss_Winograd,25,4096,9.4849,9.787913e-02,2026-06-01 10:42:55
narrow,Cholesky_Naive,25,4096,10.5379,9.787913e-02,2026-06-01 10:42:55
narrow,Cholesky_Perminov,25,4096,8.9468,9.787913e-02,2026-06-01 10:42:55
narrow,Cholesky_Winograd,25,4096,9.5495,9.787913e-02,2026-06-01 10:42:55
narrow,Gauss_Naive,45,4096,32.3906,9.722661e-02,2026-06-01 10:42:55
narrow,Gauss_Perminov,45,4096,26.8845,9.722661e-02,2026-06-01 10:42:56
narrow,Gauss_Winograd,45,4096,28.1246,9.722661e-02,2026-06-01 10:42:56
narrow,Cholesky_Naive,45,4096,32.3383,9.722661e-02,2026-06-01 10:42:56
narrow,Cholesky_Perminov,45,4096,27.2695,9.722661e-02,2026-06-01 10:42:56
narrow,Cholesky_Winograd,45,4096,27.7196,9.722661e-02,2026-06-01 10:42:56
narrow,Gauss_Naive,65,4096,65.6816,9.669882e-02,2026-06-01 10:42:57
narrow,Gauss_Perminov,65,4096,54.4584,9.669882e-02,2026-06-01 10:42:57
narrow,Gauss_Winograd,65,4096,56.7405,9.669882e-02,2026-06-01 10:42:57
narrow,Cholesky_Naive,65,4096,65.3926,9.669882e-02,2026-06-01 10:42:58
narrow,Cholesky_Perminov,65,4096,53.8761,9.669882e-02,2026-06-01 10:42:58
narrow,Cholesky_Winograd,65,4096,56.4848,9.669882e-02,2026-06-01 10:42:58
narrow,Gauss_Naive,12,4096,2.8914,9.422674e-02,2026-06-01 10:42:58
narrow,Gauss_Perminov,12,4096,2.6304,9.422674e-02,2026-06-01 10:42:58
narrow,Gauss_Winograd,12,4096,2.7744,9.422674e-02,2026-06-01 10:42:58
narrow,Cholesky_Naive,12,4096,2.6974,9.422674e-02,2026-06-01 10:42:58
narrow,Cholesky_Perminov,12,4096,2.6384,9.422674e-02,2026-06-01 10:42:58
